"","centroid","annotations","protein"
"11321","centroid_329","   00600 Sphingolipid metabolism","melA"
"11322","centroid_329","   3.2.1  Glycosidases, i.e. enzymes that hydrolyse O- and S-glycosyl compounds","melA"
"11323","centroid_329","  09101 Carbohydrate metabolism","melA"
"11324","centroid_329","  09103 Lipid metabolism","melA"
"11325","centroid_329","  3.2  Glycosylases","melA"
"11326","centroid_329"," 09100 Metabolism","melA"
"11327","centroid_329"," 3. Hydrolases","melA"
"11328","centroid_3290","    2.5.1.144  S-sulfo-L-cysteine synthase (O-acetyl-L-serine-dependent)","cysM"
"11329","centroid_3290","   00270 Cysteine and methionine metabolism","cysM"
"11330","centroid_3290","   2.5.1  Transferring alkyl or aryl groups, other than methyl groups (only sub-subclass identified to date)","cysM"
"11331","centroid_3290","  09105 Amino acid metabolism","cysM"
"11332","centroid_3290","  2.5  Transferring alkyl or aryl groups, other than methyl groups","cysM"
"11333","centroid_3290"," 09100 Metabolism","cysM"
"11334","centroid_3290"," 2. Transferases","cysM"
"11335","centroid_3291","    7.3.2.3  ABC-type sulfate transporter","cysA"
"11336","centroid_3291","   00920 Sulfur metabolism","cysA"
"11337","centroid_3291","   02000 Transporters [BR:kpu02000]","cysA"
"11338","centroid_3291","   02010 ABC transporters","cysA"
"11339","centroid_3291","   7.3.2  Linked to the hydrolysis of a nucleoside triphosphate","cysA"
"11340","centroid_3291","  09102 Energy metabolism","cysA"
"11341","centroid_3291","  09131 Membrane transport","cysA"
"11342","centroid_3291","  09183 Protein families: signaling and cellular processes","cysA"
"11343","centroid_3291","  7.3  Catalysing the translocation of inorganic anions and their chelates","cysA"
"11344","centroid_3291"," 09100 Metabolism","cysA"
"11345","centroid_3291"," 09130 Environmental Information Processing","cysA"
"11346","centroid_3291"," 09180 Brite Hierarchies","cysA"
"11347","centroid_3291"," 7. Translocases","cysA"
"11348","centroid_3292","   00920 Sulfur metabolism","cysW"
"11349","centroid_3292","   02000 Transporters [BR:kpu02000]","cysW"
"11350","centroid_3292","   02010 ABC transporters","cysW"
"11351","centroid_3292","  09102 Energy metabolism","cysW"
"11352","centroid_3292","  09131 Membrane transport","cysW"
"11353","centroid_3292","  09183 Protein families: signaling and cellular processes","cysW"
"11354","centroid_3292"," 09100 Metabolism","cysW"
"11355","centroid_3292"," 09130 Environmental Information Processing","cysW"
"11356","centroid_3292"," 09180 Brite Hierarchies","cysW"
"11357","centroid_3293","   00920 Sulfur metabolism","cysT"
"11358","centroid_3293","   02000 Transporters [BR:kpu02000]","cysT"
"11359","centroid_3293","   02010 ABC transporters","cysT"
"11360","centroid_3293","  09102 Energy metabolism","cysT"
"11361","centroid_3293","  09131 Membrane transport","cysT"
"11362","centroid_3293","  09183 Protein families: signaling and cellular processes","cysT"
"11363","centroid_3293"," 09100 Metabolism","cysT"
"11364","centroid_3293"," 09130 Environmental Information Processing","cysT"
"11365","centroid_3293"," 09180 Brite Hierarchies","cysT"
"11366","centroid_3294","   00920 Sulfur metabolism","cysP"
"11367","centroid_3294","   02000 Transporters [BR:kpu02000]","cysP"
"11368","centroid_3294","   02010 ABC transporters","cysP"
"11369","centroid_3294","  09102 Energy metabolism","cysP"
"11370","centroid_3294","  09131 Membrane transport","cysP"
"11371","centroid_3294","  09183 Protein families: signaling and cellular processes","cysP"
"11372","centroid_3294"," 09100 Metabolism","cysP"
"11373","centroid_3294"," 09130 Environmental Information Processing","cysP"
"11374","centroid_3294"," 09180 Brite Hierarchies","cysP"
"11375","centroid_3295","    1.11.1.-","(GenBank) hypothetical protein"
"11376","centroid_3295","   1.11.1  Peroxidases","(GenBank) hypothetical protein"
"11377","centroid_3295","   99980 Enzymes with EC numbers","(GenBank) hypothetical protein"
"11378","centroid_3295","  09191 Unclassified: metabolism","(GenBank) hypothetical protein"
"11379","centroid_3295","  1.11  Acting on a peroxide as acceptor","(GenBank) hypothetical protein"
"11380","centroid_3295"," 09190 Not Included in Pathway or Brite","(GenBank) hypothetical protein"
"11381","centroid_3295"," 1. Oxidoreductases","(GenBank) hypothetical protein"
"11382","centroid_3299","    3.5.1.28  N-acetylmuramoyl-L-alanine amidase","amiA"
"11383","centroid_3299","   01011 Peptidoglycan biosynthesis and degradation proteins [BR:kpu01011]","amiA"
"11384","centroid_3299","   01503 Cationic antimicrobial peptide (CAMP) resistance","amiA"
"11385","centroid_3299","   03036 Chromosome and associated proteins [BR:kpu03036]","amiA"
"11386","centroid_3299","   3.5.1  In linear amides","amiA"
"11387","centroid_3299","  09175 Drug resistance: antimicrobial","amiA"
"11388","centroid_3299","  09181 Protein families: metabolism","amiA"
"11389","centroid_3299","  09182 Protein families: genetic information processing","amiA"
"11390","centroid_3299","  3.5  Acting on carbon-nitrogen bonds, other than peptide bonds","amiA"
"11391","centroid_3299"," 09160 Human Diseases","amiA"
"11392","centroid_3299"," 09180 Brite Hierarchies","amiA"
"11393","centroid_3299"," 3. Hydrolases","amiA"
"11394","centroid_330","   02000 Transporters [BR:kpu02000]","melB"
"11395","centroid_330","  09183 Protein families: signaling and cellular processes","melB"
"11396","centroid_330"," 09180 Brite Hierarchies","melB"
"11397","centroid_3300","    1.3.3.3  coproporphyrinogen oxidase","hemF"
"11398","centroid_3300","   00860 Porphyrin and chlorophyll metabolism","hemF"
"11399","centroid_3300","   1.3.3  With oxygen as acceptor","hemF"
"11400","centroid_3300","  09108 Metabolism of cofactors and vitamins","hemF"
"11401","centroid_3300","  1.3  Acting on the CH-CH group of donors","hemF"
"11402","centroid_3300"," 09100 Metabolism","hemF"
"11403","centroid_3300"," 1. Oxidoreductases","hemF"
"11404","centroid_3301","   03000 Transcription factors [BR:kpu03000]","yfeG"
"11405","centroid_3301","  09182 Protein families: genetic information processing","yfeG"
"11406","centroid_3301"," 09180 Brite Hierarchies","yfeG"
"11407","centroid_3302","   99985 Amino acid metabolism","yffI"
"11408","centroid_3302","  09191 Unclassified: metabolism","yffI"
"11409","centroid_3302"," 09190 Not Included in Pathway or Brite","yffI"
"11410","centroid_3303","   99985 Amino acid metabolism","eutL"
"11411","centroid_3303","  09191 Unclassified: metabolism","eutL"
"11412","centroid_3303"," 09190 Not Included in Pathway or Brite","eutL"
"11413","centroid_3304","    4.3.1.7  ethanolamine ammonia-lyase","eutC"
"11414","centroid_3304","   00564 Glycerophospholipid metabolism","eutC"
"11415","centroid_3304","   4.3.1  Ammonia-lyases","eutC"
"11416","centroid_3304","  09103 Lipid metabolism","eutC"
"11417","centroid_3304","  4.3  Carbon-nitrogen lyases","eutC"
"11418","centroid_3304"," 09100 Metabolism","eutC"
"11419","centroid_3304"," 4. Lyases","eutC"
"11420","centroid_3305","    4.3.1.7  ethanolamine ammonia-lyase","eutB"
"11421","centroid_3305","   00564 Glycerophospholipid metabolism","eutB"
"11422","centroid_3305","   4.3.1  Ammonia-lyases","eutB"
"11423","centroid_3305","  09103 Lipid metabolism","eutB"
"11424","centroid_3305","  4.3  Carbon-nitrogen lyases","eutB"
"11425","centroid_3305"," 09100 Metabolism","eutB"
"11426","centroid_3305"," 4. Lyases","eutB"
"11427","centroid_3306","   00564 Glycerophospholipid metabolism","eutA"
"11428","centroid_3306","  09103 Lipid metabolism","eutA"
"11429","centroid_3306"," 09100 Metabolism","eutA"
"11430","centroid_3307","   99985 Amino acid metabolism","eutH"
"11431","centroid_3307","  09191 Unclassified: metabolism","eutH"
"11432","centroid_3307"," 09190 Not Included in Pathway or Brite","eutH"
"11433","centroid_3308","   00010 Glycolysis / Gluconeogenesis","eutG"
"11434","centroid_3308","  09101 Carbohydrate metabolism","eutG"
"11435","centroid_3308"," 09100 Metabolism","eutG"
"11436","centroid_3309","   99985 Amino acid metabolism","eutJ"
"11437","centroid_3309","  09191 Unclassified: metabolism","eutJ"
"11438","centroid_3309"," 09190 Not Included in Pathway or Brite","eutJ"
"11439","centroid_331","   04812 Cytoskeleton proteins [BR:kpu04812]","stbA"
"11440","centroid_331","  09183 Protein families: signaling and cellular processes","stbA"
"11441","centroid_331"," 09180 Brite Hierarchies","stbA"
"11442","centroid_3310","   00620 Pyruvate metabolism","eutE"
"11443","centroid_3310","  09101 Carbohydrate metabolism","eutE"
"11444","centroid_3310"," 09100 Metabolism","eutE"
"11445","centroid_3311","   99985 Amino acid metabolism","cchB"
"11446","centroid_3311","  09191 Unclassified: metabolism","cchB"
"11447","centroid_3311"," 09190 Not Included in Pathway or Brite","cchB"
"11448","centroid_3312","   99985 Amino acid metabolism","cchA"
"11449","centroid_3312","  09191 Unclassified: metabolism","cchA"
"11450","centroid_3312"," 09190 Not Included in Pathway or Brite","cchA"
"11451","centroid_3313","   00620 Pyruvate metabolism","eutI"
"11452","centroid_3313","  09101 Carbohydrate metabolism","eutI"
"11453","centroid_3313"," 09100 Metabolism","eutI"
"11454","centroid_3314","    2.5.1.17  corrinoid adenosyltransferase","eutT"
"11455","centroid_3314","   00860 Porphyrin and chlorophyll metabolism","eutT"
"11456","centroid_3314","   2.5.1  Transferring alkyl or aryl groups, other than methyl groups (only sub-subclass identified to date)","eutT"
"11457","centroid_3314","  09108 Metabolism of cofactors and vitamins","eutT"
"11458","centroid_3314","  2.5  Transferring alkyl or aryl groups, other than methyl groups","eutT"
"11459","centroid_3314"," 09100 Metabolism","eutT"
"11460","centroid_3314"," 2. Transferases","eutT"
"11461","centroid_3315","   99985 Amino acid metabolism","eutQ"
"11462","centroid_3315","  09191 Unclassified: metabolism","eutQ"
"11463","centroid_3315"," 09190 Not Included in Pathway or Brite","eutQ"
"11464","centroid_3316","   99985 Amino acid metabolism","eutP"
"11465","centroid_3316","  09191 Unclassified: metabolism","eutP"
"11466","centroid_3316"," 09190 Not Included in Pathway or Brite","eutP"
"11467","centroid_3317","   99985 Amino acid metabolism","ypfE"
"11468","centroid_3317","  09191 Unclassified: metabolism","ypfE"
"11469","centroid_3317"," 09190 Not Included in Pathway or Brite","ypfE"
"11470","centroid_3318","    1.1.1.40  malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+)","maeB"
"11471","centroid_3318","   00620 Pyruvate metabolism","maeB"
"11472","centroid_3318","   1.1.1  With NAD+ or NADP+ as acceptor","maeB"
"11473","centroid_3318","  09101 Carbohydrate metabolism","maeB"
"11474","centroid_3318","  1.1  Acting on the CH-OH group of donors","maeB"
"11475","centroid_3318"," 09100 Metabolism","maeB"
"11476","centroid_3318"," 1. Oxidoreductases","maeB"
"11477","centroid_3319","    2.2.1.2  transaldolase","talA"
"11478","centroid_3319","   00030 Pentose phosphate pathway","talA"
"11479","centroid_3319","   2.2.1  Transketolases and transaldolases","talA"
"11480","centroid_3319","  09101 Carbohydrate metabolism","talA"
"11481","centroid_3319","  2.2  Transferring aldehyde or ketonic groups","talA"
"11482","centroid_3319"," 09100 Metabolism","talA"
"11483","centroid_3319"," 2. Transferases","talA"
"11484","centroid_3320","    2.2.1.1  transketolase","tktB"
"11485","centroid_3320","   00030 Pentose phosphate pathway","tktB"
"11486","centroid_3320","   01051 Biosynthesis of ansamycins","tktB"
"11487","centroid_3320","   2.2.1  Transketolases and transaldolases","tktB"
"11488","centroid_3320","  09101 Carbohydrate metabolism","tktB"
"11489","centroid_3320","  09109 Metabolism of terpenoids and polyketides","tktB"
"11490","centroid_3320","  2.2  Transferring aldehyde or ketonic groups","tktB"
"11491","centroid_3320"," 09100 Metabolism","tktB"
"11492","centroid_3320"," 2. Transferases","tktB"
"11493","centroid_3322","    3.6.1.-","yffH"
"11494","centroid_3322","   3.6.1  In phosphorus-containing anhydrides","yffH"
"11495","centroid_3322","   99980 Enzymes with EC numbers","yffH"
"11496","centroid_3322","  09191 Unclassified: metabolism","yffH"
"11497","centroid_3322","  3.6  Acting on acid anhydrides","yffH"
"11498","centroid_3322"," 09190 Not Included in Pathway or Brite","yffH"
"11499","centroid_3322"," 3. Hydrolases","yffH"
"11500","centroid_333","   03036 Chromosome and associated proteins [BR:kpu03036]","(GenBank) hypothetical protein"
"11501","centroid_333","  09182 Protein families: genetic information processing","(GenBank) hypothetical protein"
"11502","centroid_333"," 09180 Brite Hierarchies","(GenBank) hypothetical protein"
"11503","centroid_334","   03036 Chromosome and associated proteins [BR:kpu03036]","cbpA"
"11504","centroid_334","   03110 Chaperones and folding catalysts [BR:kpu03110]","cbpA"
"11505","centroid_334","  09182 Protein families: genetic information processing","cbpA"
"11506","centroid_334"," 09180 Brite Hierarchies","cbpA"
"11507","centroid_3342","   02000 Transporters [BR:kpu02000]","(GenBank) hypothetical protein"
"11508","centroid_3342","  09183 Protein families: signaling and cellular processes","(GenBank) hypothetical protein"
"11509","centroid_3342"," 09180 Brite Hierarchies","(GenBank) hypothetical protein"
"11510","centroid_338","    2.4.1.-","(GenBank) putative glycosyl transferase"
"11511","centroid_338","   01003 Glycosyltransferases [BR:kpu01003]","(GenBank) putative glycosyl transferase"
"11512","centroid_338","   2.4.1  Hexosyltransferases","(GenBank) putative glycosyl transferase"
"11513","centroid_338","  09181 Protein families: metabolism","(GenBank) putative glycosyl transferase"
"11514","centroid_338","  2.4  Glycosyltransferases","(GenBank) putative glycosyl transferase"
"11515","centroid_338"," 09180 Brite Hierarchies","(GenBank) putative glycosyl transferase"
"11516","centroid_338"," 2. Transferases","(GenBank) putative glycosyl transferase"
"11517","centroid_3382","    2.8.1.7  cysteine desulfurase","iscS"
"11518","centroid_3382","   00730 Thiamine metabolism","iscS"
"11519","centroid_3382","   02048 Prokaryotic defense system [BR:kpu02048]","iscS"
"11520","centroid_3382","   03016 Transfer RNA biogenesis [BR:kpu03016]","iscS"
"11521","centroid_3382","   03029 Mitochondrial biogenesis [BR:kpu03029]","iscS"
"11522","centroid_3382","   04122 Sulfur relay system","iscS"
"11523","centroid_3382","   2.8.1  Sulfurtransferases","iscS"
"11524","centroid_3382","  09108 Metabolism of cofactors and vitamins","iscS"
"11525","centroid_3382","  09123 Folding, sorting and degradation","iscS"
"11526","centroid_3382","  09182 Protein families: genetic information processing","iscS"
"11527","centroid_3382","  09183 Protein families: signaling and cellular processes","iscS"
"11528","centroid_3382","  2.8  Transferring sulfur-containing groups","iscS"
"11529","centroid_3382"," 09100 Metabolism","iscS"
"11530","centroid_3382"," 09120 Genetic Information Processing","iscS"
"11531","centroid_3382"," 09180 Brite Hierarchies","iscS"
"11532","centroid_3382"," 2. Transferases","iscS"
"11533","centroid_3383","   03000 Transcription factors [BR:kpu03000]","iscR"
"11534","centroid_3383","  09182 Protein families: genetic information processing","iscR"
"11535","centroid_3383"," 09180 Brite Hierarchies","iscR"
"11536","centroid_3384","    2.1.1.200  tRNA (cytidine32/uridine32-2'-O)-methyltransferase","yfhQ"
"11537","centroid_3384","   03016 Transfer RNA biogenesis [BR:kpu03016]","yfhQ"
"11538","centroid_3384","   2.1.1  Methyltransferases","yfhQ"
"11539","centroid_3384","  09182 Protein families: genetic information processing","yfhQ"
"11540","centroid_3384","  2.1  Transferring one-carbon groups","yfhQ"
"11541","centroid_3384"," 09180 Brite Hierarchies","yfhQ"
"11542","centroid_3384"," 2. Transferases","yfhQ"
"11543","centroid_3385","    3.1.3.25  inositol-phosphate phosphatase","suhB"
"11544","centroid_3385","   00521 Streptomycin biosynthesis","suhB"
"11545","centroid_3385","   00562 Inositol phosphate metabolism","suhB"
"11546","centroid_3385","   3.1.3  Phosphoric-monoester hydrolases","suhB"
"11547","centroid_3385","  09101 Carbohydrate metabolism","suhB"
"11548","centroid_3385","  09110 Biosynthesis of other secondary metabolites","suhB"
"11549","centroid_3385","  3.1  Acting on ester bonds","suhB"
"11550","centroid_3385"," 09100 Metabolism","suhB"
"11551","centroid_3385"," 3. Hydrolases","suhB"
"11552","centroid_3387","   02000 Transporters [BR:kpu02000]","yohM"
"11553","centroid_3387","  09183 Protein families: signaling and cellular processes","yohM"
"11554","centroid_3387"," 09180 Brite Hierarchies","yohM"
"11555","centroid_339","    3.5.1.-","(GenBank) putative polysaccharide deacetylase"
"11556","centroid_339","   3.5.1  In linear amides","(GenBank) putative polysaccharide deacetylase"
"11557","centroid_339","  3.5  Acting on carbon-nitrogen bonds, other than peptide bonds","(GenBank) putative polysaccharide deacetylase"
"11558","centroid_339"," 3. Hydrolases","(GenBank) putative polysaccharide deacetylase"
"11559","centroid_3390","   02000 Transporters [BR:kpu02000]","hcaT"
"11560","centroid_3390","  09183 Protein families: signaling and cellular processes","hcaT"
"11561","centroid_3390"," 09180 Brite Hierarchies","hcaT"
"11562","centroid_3392","   02000 Transporters [BR:kpu02000]","(GenBank) putative general substrate transporter"
"11563","centroid_3392","  09183 Protein families: signaling and cellular processes","(GenBank) putative general substrate transporter"
"11564","centroid_3392"," 09180 Brite Hierarchies","(GenBank) putative general substrate transporter"
"11565","centroid_3395","   99999 Others","(GenBank) conserved hypothetical protein"
"11566","centroid_3395","  09191 Unclassified: metabolism","(GenBank) conserved hypothetical protein"
"11567","centroid_3395"," 09190 Not Included in Pathway or Brite","(GenBank) conserved hypothetical protein"
"11568","centroid_3396","    2.1.2.1  glycine hydroxymethyltransferase","glyA"
"11569","centroid_3396","   00260 Glycine, serine and threonine metabolism","glyA"
"11570","centroid_3396","   00460 Cyanoamino acid metabolism","glyA"
"11571","centroid_3396","   00630 Glyoxylate and dicarboxylate metabolism","glyA"
"11572","centroid_3396","   00670 One carbon pool by folate","glyA"
"11573","centroid_3396","   00680 Methane metabolism","glyA"
"11574","centroid_3396","   2.1.2  Hydroxymethyl-, formyl- and related transferases","glyA"
"11575","centroid_3396","  09101 Carbohydrate metabolism","glyA"
"11576","centroid_3396","  09102 Energy metabolism","glyA"
"11577","centroid_3396","  09105 Amino acid metabolism","glyA"
"11578","centroid_3396","  09106 Metabolism of other amino acids","glyA"
"11579","centroid_3396","  09108 Metabolism of cofactors and vitamins","glyA"
"11580","centroid_3396","  2.1  Transferring one-carbon groups","glyA"
"11581","centroid_3396"," 09100 Metabolism","glyA"
"11582","centroid_3396"," 2. Transferases","glyA"
"11583","centroid_3397","    1.14.12.17  nitric oxide dioxygenase","hmpA"
"11584","centroid_3397","   1.14.12  With NADH or NADPH as one donor, and incorporation of two atoms of oxygen into the other donor","hmpA"
"11585","centroid_3397","   99980 Enzymes with EC numbers","hmpA"
"11586","centroid_3397","  09191 Unclassified: metabolism","hmpA"
"11587","centroid_3397","  1.14  Acting on paired donors, with incorporation or reduction of molecular oxygen","hmpA"
"11588","centroid_3397"," 09190 Not Included in Pathway or Brite","hmpA"
"11589","centroid_3397"," 1. Oxidoreductases","hmpA"
"11590","centroid_3398","   02020 Two-component system","(GenBank) nitrogen regulatory protein P-II"
"11591","centroid_3398","  09132 Signal transduction","(GenBank) nitrogen regulatory protein P-II"
"11592","centroid_3398"," 09130 Environmental Information Processing","(GenBank) nitrogen regulatory protein P-II"
"11593","centroid_3399","   02020 Two-component system","yfhA"
"11594","centroid_3399","   02022 Two-component system [BR:kpu02022]","yfhA"
"11595","centroid_3399","   02024 Quorum sensing","yfhA"
"11596","centroid_3399","  09132 Signal transduction","yfhA"
"11597","centroid_3399","  09145 Cellular community - prokaryotes","yfhA"
"11598","centroid_3399","  09183 Protein families: signaling and cellular processes","yfhA"
"11599","centroid_3399"," 09130 Environmental Information Processing","yfhA"
"11600","centroid_3399"," 09140 Cellular Processes","yfhA"
"11601","centroid_3399"," 09180 Brite Hierarchies","yfhA"
"11602","centroid_3401","    2.7.13.3  histidine kinase","yfhK"
"11603","centroid_3401","   01001 Protein kinases [BR:kpu01001]","yfhK"
"11604","centroid_3401","   02020 Two-component system","yfhK"
"11605","centroid_3401","   02022 Two-component system [BR:kpu02022]","yfhK"
"11606","centroid_3401","   02024 Quorum sensing","yfhK"
"11607","centroid_3401","   2.7.13  Protein-histidine kinases","yfhK"
"11608","centroid_3401","  09132 Signal transduction","yfhK"
"11609","centroid_3401","  09145 Cellular community - prokaryotes","yfhK"
"11610","centroid_3401","  09181 Protein families: metabolism","yfhK"
"11611","centroid_3401","  09183 Protein families: signaling and cellular processes","yfhK"
"11612","centroid_3401","  2.7  Transferring phosphorus-containing groups","yfhK"
"11613","centroid_3401"," 09130 Environmental Information Processing","yfhK"
"11614","centroid_3401"," 09140 Cellular Processes","yfhK"
"11615","centroid_3401"," 09180 Brite Hierarchies","yfhK"
"11616","centroid_3401"," 2. Transferases","yfhK"
"11617","centroid_3402","    6.3.5.3  phosphoribosylformylglycinamidine synthase","purL"
"11618","centroid_3402","   00230 Purine metabolism","purL"
"11619","centroid_3402","   6.3.5  Carbon-nitrogen ligases with glutamine as amido-N-donor","purL"
"11620","centroid_3402","  09104 Nucleotide metabolism","purL"
"11621","centroid_3402","  6.3  Forming carbon-nitrogen bonds","purL"
"11622","centroid_3402"," 09100 Metabolism","purL"
"11623","centroid_3402"," 6. Ligases","purL"
"11624","centroid_3403","    4.2.2.-","yfhD"
"11625","centroid_3403","   01011 Peptidoglycan biosynthesis and degradation proteins [BR:kpu01011]","yfhD"
"11626","centroid_3403","   4.2.2  Acting on polysaccharides","yfhD"
"11627","centroid_3403","  09181 Protein families: metabolism","yfhD"
"11628","centroid_3403","  4.2  Carbon-oxygen lyases","yfhD"
"11629","centroid_3403"," 09180 Brite Hierarchies","yfhD"
"11630","centroid_3403"," 4. Lyases","yfhD"
"11631","centroid_3404","    3.5.4.33  tRNA(adenine34) deaminase","tadA"
"11632","centroid_3404","   03016 Transfer RNA biogenesis [BR:kpu03016]","tadA"
"11633","centroid_3404","   3.5.4  In cyclic amidines","tadA"
"11634","centroid_3404","  09182 Protein families: genetic information processing","tadA"
"11635","centroid_3404","  3.5  Acting on carbon-nitrogen bonds, other than peptide bonds","tadA"
"11636","centroid_3404"," 09180 Brite Hierarchies","tadA"
"11637","centroid_3404"," 3. Hydrolases","tadA"
"11638","centroid_3405","    3.1.3.27  phosphatidylglycerophosphatase","(GenBank) hypothetical protein"
"11639","centroid_3405","   00564 Glycerophospholipid metabolism","(GenBank) hypothetical protein"
"11640","centroid_3405","   3.1.3  Phosphoric-monoester hydrolases","(GenBank) hypothetical protein"
"11641","centroid_3405","  09103 Lipid metabolism","(GenBank) hypothetical protein"
"11642","centroid_3405","  3.1  Acting on ester bonds","(GenBank) hypothetical protein"
"11643","centroid_3405"," 09100 Metabolism","(GenBank) hypothetical protein"
"11644","centroid_3405"," 3. Hydrolases","(GenBank) hypothetical protein"
"11645","centroid_3408","    2.7.8.7  holo-[acyl-carrier-protein] synthase","acpS"
"11646","centroid_3408","   00770 Pantothenate and CoA biosynthesis","acpS"
"11647","centroid_3408","   2.7.8  Transferases for other substituted phosphate groups","acpS"
"11648","centroid_3408","  09108 Metabolism of cofactors and vitamins","acpS"
"11649","centroid_3408","  2.7  Transferring phosphorus-containing groups","acpS"
"11650","centroid_3408"," 09100 Metabolism","acpS"
"11651","centroid_3408"," 2. Transferases","acpS"
"11652","centroid_3409","    2.6.99.2  pyridoxine 5'-phosphate synthase","pdxJ"
"11653","centroid_3409","   00750 Vitamin B6 metabolism","pdxJ"
"11654","centroid_3409","   2.6.99  Transferring other nitrogenous groups","pdxJ"
"11655","centroid_3409","  09108 Metabolism of cofactors and vitamins","pdxJ"
"11656","centroid_3409","  2.6  Transferring nitrogenous groups","pdxJ"
"11657","centroid_3409"," 09100 Metabolism","pdxJ"
"11658","centroid_3409"," 2. Transferases","pdxJ"
"11659","centroid_3410","   03400 DNA repair and recombination proteins [BR:kpu03400]","recO"
"11660","centroid_3410","   03440 Homologous recombination","recO"
"11661","centroid_3410","  09124 Replication and repair","recO"
"11662","centroid_3410","  09182 Protein families: genetic information processing","recO"
"11663","centroid_3410"," 09120 Genetic Information Processing","recO"
"11664","centroid_3410"," 09180 Brite Hierarchies","recO"
"11665","centroid_3411","   03009 Ribosome biogenesis [BR:kpu03009]","era"
"11666","centroid_3411","   03029 Mitochondrial biogenesis [BR:kpu03029]","era"
"11667","centroid_3411","  09182 Protein families: genetic information processing","era"
"11668","centroid_3411"," 09180 Brite Hierarchies","era"
"11669","centroid_3412","    3.1.26.3  ribonuclease III","rncS"
"11670","centroid_3412","   03009 Ribosome biogenesis [BR:kpu03009]","rncS"
"11671","centroid_3412","   03019 Messenger RNA biogenesis [BR:kpu03019]","rncS"
"11672","centroid_3412","   03036 Chromosome and associated proteins [BR:kpu03036]","rncS"
"11673","centroid_3412","   3.1.26  Endoribonucleases producing 5'-phosphomonoesters","rncS"
"11674","centroid_3412","  09182 Protein families: genetic information processing","rncS"
"11675","centroid_3412","  3.1  Acting on ester bonds","rncS"
"11676","centroid_3412","  90S particles","rncS"
"11677","centroid_3412"," 09180 Brite Hierarchies","rncS"
"11678","centroid_3412"," 3. Hydrolases","rncS"
"11679","centroid_3413","    3.4.21.89  signal peptidase I","lepB"
"11680","centroid_3413","   01002 Peptidases and inhibitors [BR:kpu01002]","lepB"
"11681","centroid_3413","   03060 Protein export","lepB"
"11682","centroid_3413","   3.4.21  Serine endopeptidases","lepB"
"11683","centroid_3413","  09123 Folding, sorting and degradation","lepB"
"11684","centroid_3413","  09181 Protein families: metabolism","lepB"
"11685","centroid_3413","  3.4  Acting on peptide bonds (peptidases)","lepB"
"11686","centroid_3413"," 09120 Genetic Information Processing","lepB"
"11687","centroid_3413"," 09180 Brite Hierarchies","lepB"
"11688","centroid_3413"," 3. Hydrolases","lepB"
"11689","centroid_3415","   03021 Transcription machinery [BR:kpu03021]","rseC"
"11690","centroid_3415","  09182 Protein families: genetic information processing","rseC"
"11691","centroid_3415"," 09180 Brite Hierarchies","rseC"
"11692","centroid_3416","   03021 Transcription machinery [BR:kpu03021]","rseB"
"11693","centroid_3416","  09182 Protein families: genetic information processing","rseB"
"11694","centroid_3416"," 09180 Brite Hierarchies","rseB"
"11695","centroid_3417","   03021 Transcription machinery [BR:kpu03021]","rseA"
"11696","centroid_3417","  09182 Protein families: genetic information processing","rseA"
"11697","centroid_3417"," 09180 Brite Hierarchies","rseA"
"11698","centroid_3418","   03021 Transcription machinery [BR:kpu03021]","rpoE"
"11699","centroid_3418","  09182 Protein families: genetic information processing","rpoE"
"11700","centroid_3418"," 09180 Brite Hierarchies","rpoE"
"11701","centroid_3419","    1.4.3.16  L-aspartate oxidase","nadB"
"11702","centroid_3419","   00250 Alanine, aspartate and glutamate metabolism","nadB"
"11703","centroid_3419","   00760 Nicotinate and nicotinamide metabolism","nadB"
"11704","centroid_3419","   1.4.3  With oxygen as acceptor","nadB"
"11705","centroid_3419","  09105 Amino acid metabolism","nadB"
"11706","centroid_3419","  09108 Metabolism of cofactors and vitamins","nadB"
"11707","centroid_3419","  1.4  Acting on the CH-NH2 group of donors","nadB"
"11708","centroid_3419"," 09100 Metabolism","nadB"
"11709","centroid_3419"," 1. Oxidoreductases","nadB"
"11710","centroid_3420","    2.1.1.223  tRNA1Val (adenine37-N6)-methyltransferase","yfiC"
"11711","centroid_3420","   03016 Transfer RNA biogenesis [BR:kpu03016]","yfiC"
"11712","centroid_3420","   2.1.1  Methyltransferases","yfiC"
"11713","centroid_3420","  09182 Protein families: genetic information processing","yfiC"
"11714","centroid_3420","  2.1  Transferring one-carbon groups","yfiC"
"11715","centroid_3420"," 09180 Brite Hierarchies","yfiC"
"11716","centroid_3420"," 2. Transferases","yfiC"
"11717","centroid_3421","    3.6.4.13  RNA helicase","srmB"
"11718","centroid_3421","   03009 Ribosome biogenesis [BR:kpu03009]","srmB"
"11719","centroid_3421","   3.6.4  Acting on acid anhydrides to facilitate cellular and subcellular movement","srmB"
"11720","centroid_3421","  09182 Protein families: genetic information processing","srmB"
"11721","centroid_3421","  3.6  Acting on acid anhydrides","srmB"
"11722","centroid_3421"," 09180 Brite Hierarchies","srmB"
"11723","centroid_3421"," 3. Hydrolases","srmB"
"11724","centroid_3422","   99996 General function prediction only","yfiD"
"11725","centroid_3422","  09194 Poorly characterized","yfiD"
